序号,名字,图标,封面,地址,描述,分类
1000031,游戏王_决战怪兽Ex2006,,https://wgame80.com/wp-content/uploads/2021/07/059《游戏王EX2006》.jpg,https://game.wgame80.com/web_game/roms/gba/游戏王_决战怪兽Ex2006.gba,游戏王_决战怪兽Ex2006,gba
1000032,最終幻想5,,https://wgame80.com/wp-content/uploads/2021/07/022《最终幻想5》.gif,https://game.wgame80.com/web_game/roms/gba/最終幻想5.gba,最終幻想5,gba
1000033,最终幻想4,,https://wgame80.com/wp-content/uploads/2021/07/021《最终幻想4》.jpg,https://game.wgame80.com/web_game/roms/gba/最终幻想4.gba,最终幻想4,gba
1000034,最终幻想战略版,,https://wgame80.com/wp-content/uploads/2021/07/023《最终幻想战略版》.jpg,https://game.wgame80.com/web_game/roms/gba/最终幻想战略版.gba,最终幻想战略版,gba
1000035,最终幻想1+2,,https://wgame80.com/wp-content/uploads/2021/07/020《最终幻想12》.jpg,https://game.wgame80.com/web_game/roms/gba/最终幻想1+2.gba,最终幻想1+2,gba
1000036,携带电兽2-速度版,,https://wgame80.com/wp-content/uploads/2021/07/携带电兽.jpg,https://game.wgame80.com/web_game/roms/gba/携带电兽2-速度版.gba,携带电兽2-速度版,gba
1000037,GTA,,https://wgame80.com/wp-content/uploads/2021/07/072GTA-Advance.jpg,https://game.wgame80.com/web_game/roms/gba/GTA.gba,GTA,gba
1000038,真女神转生,,https://wgame80.com/wp-content/uploads/2021/07/095真女神转生.jpg,https://game.wgame80.com/web_game/roms/gba/真女神转生.gba,真女神转生,gba
1000039,RPG制造,,https://wgame80.com/wp-content/uploads/2021/07/118《RPG制造》.jpg,https://game.wgame80.com/web_game/roms/gba/RPG制造.gba,RPG制造,gba
1000040,舞之刃,,https://wgame80.com/wp-content/uploads/2021/07/111-119.jpeg,https://game.wgame80.com/web_game/roms/gba/舞之刃.gba,舞之刃,gba
1000041,卧虎藏龙,,https://wgame80.com/wp-content/uploads/2021/07/111-48.jpg,https://game.wgame80.com/web_game/roms/gba/卧虎藏龙.gba,卧虎藏龙,gba
1000042,我是航空管制员,,https://wgame80.com/wp-content/uploads/2021/07/115我是航空管制员.jpg,https://game.wgame80.com/web_game/roms/gba/我是航空管制员.gba,我是航空管制员,gba
1000043,网球王子2004时尚之银,,https://wgame80.com/wp-content/uploads/2021/07/053《网球王子2004时尚之银》.jpg,https://game.wgame80.com/web_game/roms/gba/网球王子2004时尚之银.gba,网球王子2004时尚之银,gba
1000044,网球王子2004光荣之金,,https://wgame80.com/wp-content/uploads/2021/07/052《网球王子2004光荣之金》.jpg,https://game.wgame80.com/web_game/roms/gba/网球王子2004光荣之金.gba,网球王子2004光荣之金,gba
1000045,网球王子2003火红版,,https://wgame80.com/wp-content/uploads/2021/07/054《网球王子2003》火红.jpg,https://game.wgame80.com/web_game/roms/gba/网球王子2003火红版.gba,网球王子2003火红版,gba
